CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;7643.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;-3973.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.04;Outras Receitas Operacionais;181563.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.04;Outras Receitas Operacionais;670411.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.05;Outras Despesas Operacionais;-8922.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.05;Outras Despesas Operacionais;-4706.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.06;Resultado de Equivalência Patrimonial;16454.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.06;Resultado de Equivalência Patrimonial;7957.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;751944.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;976633.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06;Resultado Financeiro;-298303.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06;Resultado Financeiro;-268946.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.01;Receitas Financeiras;119507.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.01;Receitas Financeiras;176282.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.01.01;Receitas Financeiras;95000.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.01.01;Receitas Financeiras;176282.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.01.02;Variações monetárias e cambiais líquidas;24507.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.01.02;Variações monetárias e cambiais líquidas;0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.02;Despesas Financeiras;-417810.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.02;Despesas Financeiras;-445228.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.02.01;Despesas Financeiras;-216949.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.02.01;Despesas Financeiras;-275342.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.02.02;Variações monetárias e cambiais líquidas;0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.02.02;Variações monetárias e cambiais líquidas;-7843.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.02.03;Instrumentos derivativos líquidos;-200861.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.02.03;Instrumentos derivativos líquidos;-162043.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;453641.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;707687.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-65734.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-15358.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.08.01;Corrente;-4097.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.08.01;Corrente;-2599.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.08.02;Diferido;-61637.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.08.02;Diferido;-12759.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.09;Resultado Líquido das Operações Continuadas;387907.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.09;Resultado Líquido das Operações Continuadas;692329.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.11;Lucro/Prejuízo Consolidado do Período;387907.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.11;Lucro/Prejuízo Consolidado do Período;692329.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.11.01;Atribuído a Sócios da Empresa Controladora;387907.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.11.01;Atribuído a Sócios da Empresa Controladora;692329.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.11.02;Atribuído a Sócios Não Controladores;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.11.02;Atribuído a Sócios Não Controladores;0.0000000000;S
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.99;Lucro por Ação - (Reais / Ação);0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.99;Lucro por Ação - (Reais / Ação);0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.99.01;Lucro Básico por Ação;0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.99.01;Lucro Básico por Ação;0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.99.01.01;ON;1.3162900000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.99.01.01;ON;2.3564300000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.99.02;Lucro Diluído por Ação;0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.99.02;Lucro Diluído por Ação;0.0000000000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.99.02.01;ON;1.3162900000;N
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.99.02.01;ON;2.3564300000;N
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.01;Receita de Venda de Bens e/ou Serviços;421455.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.01;Receita de Venda de Bens e/ou Serviços;367142.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-137369.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-155343.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.03;Resultado Bruto;284086.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.03;Resultado Bruto;211799.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04;Despesas/Receitas Operacionais;-98826.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04;Despesas/Receitas Operacionais;-119162.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.01;Despesas com Vendas;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.01;Despesas com Vendas;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.02;Despesas Gerais e Administrativas;-95524.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.02;Despesas Gerais e Administrativas;-105610.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.04;Outras Receitas Operacionais;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.04;Outras Receitas Operacionais;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.05;Outras Despesas Operacionais;-3302.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.05;Outras Despesas Operacionais;-13552.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.04.06;Resultado de Equivalência Patrimonial;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.04.06;Resultado de Equivalência Patrimonial;0.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;185260.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.05;Resultado Antes do Resultado Financeiro e dos Tributos;92637.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06;Resultado Financeiro;15593.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06;Resultado Financeiro;45155.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.01;Receitas Financeiras;21938.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.01;Receitas Financeiras;45805.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.02;Despesas Financeiras;-6345.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.02;Despesas Financeiras;-650.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.02.01;Variação cambial liquida;-2005.0000000000;N
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.02.01;Variação cambial liquida;1736.0000000000;N
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.06.02.02;Despesas financeiras;-4340.0000000000;N
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.06.02.02;Despesas financeiras;-2386.0000000000;N
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;200853.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;3.07;Resultado Antes dos Tributos sobre o Lucro;137792.0000000000;S
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;-66850.0000000000;S
